date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:39:13	193360/193360	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:10%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/user-login.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/user-login.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:13	9930/9930	---M--	200	added ('OK')	image/jpeg	etag:%22645511d8-26ca%22	https://templates.g5plus.net/glowing-bootstrap-5/assets/images/background/bg-mega-menu-shop.jpg	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/assets/images/background/bg-mega-menu-shop.jpg	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:13	207137/207137	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:10%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/blog/grid.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/blog/grid.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:13	214017/214017	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:10%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/blog/grid-sidebar.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/blog/grid-sidebar.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:14	204988/204988	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:10%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/blog/masonry.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/blog/masonry.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:14	214607/214607	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:10%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/blog/list.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/blog/list.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:14	215091/215091	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:10%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/blog/classic.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/blog/classic.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:14	215705/215705	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:10%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/blog/details-01.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/blog/details-01.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:15	220526/220526	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:10%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/blog/details-02.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/blog/details-02.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:15	202651/202651	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:10%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/about-us-01.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/about-us-01.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:15	201966/201966	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:10%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/about-us-02.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/about-us-02.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:15	195337/195337	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:10%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/contact-us-01.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/contact-us-01.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:16	194569/194569	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:10%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/contact-us-02.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/contact-us-02.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:16	162315/162315	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:12%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/dashboard.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/dashboard/dashboard.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:16	153476/153476	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:12%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/product-grid.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/dashboard/product-grid.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:16	158569/158569	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:12%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/order-list.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/dashboard/order-list.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:17	149971/149971	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:12%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/sellers-cards.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/dashboard/sellers-cards.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:17	148090/148090	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:12%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/add-product-1.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/dashboard/add-product-1.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:17	149985/149985	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:12%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/transactions-1.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/dashboard/transactions-1.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:17	164103/164103	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:12%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/reviews.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/dashboard/reviews.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:18	153353/153353	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:12%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/brands.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/dashboard/brands.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:19	146977/146977	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:12%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/dashboard/profile-settings.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/dashboard/profile-settings.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
